config_id,w_role_message,w_framework_construct,w_prompt_var_name,w_yaml_key,w_md_heading,w_structural_corroboration,w_linguistic_phrase,w_length_multiline,w_template_placeholder,w_few_shot_markers
0,77,46,1,57,11,84,22,64,52,41
1,62,32,17,72,97,34,96,64,11,55
2,48,15,75,68,83,64,62,87,79,70
3,93,92,77,40,58,7,53,96,80,97
4,20,53,17,74,48,3,35,85,82,7
5,71,30,96,72,22,23,2,98,78,44
6,8,71,27,84,61,23,71,84,69,84
7,87,60,84,85,23,97,13,87,46,99
8,73,88,32,28,20,60,67,88,84,75
9,42,46,31,90,63,41,69,8,53,11
10,41,31,98,64,22,52,2,88,100,42
11,74,96,83,60,94,71,89,58,46,69
12,37,19,90,6,20,92,67,43,33,94
13,65,1,64,83,26,58,42,79,2,26
14,97,36,76,7,94,25,53,88,67,72
15,9,36,8,69,17,50,0,15,42,30
16,40,15,95,33,37,35,4,81,22,69
17,89,85,14,14,56,59,86,20,33,98
18,34,20,79,0,47,13,38,68,42,63
19,13,44,45,40,100,46,70,7,88,56
20,4,83,86,50,70,80,45,68,6,10
21,9,16,17,65,37,76,18,83,72,77
22,47,1,9,65,45,86,32,23,57,71
23,13,39,94,73,88,77,14,75,80,84
24,86,37,97,53,48,49,75,48,36,16
25,49,66,92,54,28,69,95,26,93,95
26,44,25,63,7,39,72,99,37,88,40
27,45,92,67,33,87,6,11,63,21,40
28,72,1,15,70,65,87,83,17,27,19
29,56,72,59,48,59,4,88,14,5,22
30,79,83,75,22,33,67,10,15,86,4
31,86,31,2,7,21,77,16,37,45,64
32,71,36,1,100,54,71,35,62,24,35
33,21,16,75,89,20,96,47,52,1,18
34,33,61,6,61,5,26,52,59,26,91
35,38,87,59,76,76,86,90,16,6,3
36,67,20,90,68,66,65,69,39,27,54
37,99,90,13,48,50,33,3,49,35,99
38,77,82,98,95,99,42,98,5,70,29
39,34,36,51,38,94,98,62,21,98,5
40,23,90,97,27,71,30,55,38,87,87
41,60,40,70,0,69,38,76,89,22,57
42,4,24,31,24,53,74,62,70,57,0
43,52,56,75,46,87,69,56,72,60,96
44,10,72,88,34,78,69,25,7,47,53
45,32,12,34,35,45,94,23,67,1,55
46,85,72,73,92,3,51,99,44,9,2
47,8,78,86,91,90,38,70,93,70,35
48,58,0,10,23,39,4,39,42,90,13
49,47,23,45,30,56,51,68,47,13,8
50,35,48,97,93,57,97,66,54,15,26
51,24,85,26,13,75,7,37,25,51,13
52,28,83,50,70,22,75,6,79,94,11
53,12,23,36,28,91,69,12,73,83,19
54,79,82,16,52,88,39,67,54,35,50
55,32,32,59,56,96,97,74,56,71,13
56,27,24,71,33,90,81,11,37,21,60
57,0,91,1,70,20,37,51,53,29,42
58,27,81,77,59,5,39,25,84,7,66
59,15,79,87,9,40,80,55,68,34,79
60,63,83,41,88,56,44,43,19,26,18
61,80,33,100,25,3,79,75,48,99,82
62,77,23,41,50,72,44,31,94,63,60
63,28,64,63,14,11,26,60,73,30,41
64,41,46,86,10,73,34,88,8,15,69
65,100,69,55,58,27,63,42,35,59,36
66,27,10,10,30,68,79,36,19,56,34
67,82,22,13,37,53,88,28,7,18,34
68,79,23,3,47,36,1,30,43,84,64
69,77,51,25,1,1,93,57,69,92,93
70,85,27,52,36,72,5,80,74,94,31
71,59,90,93,69,46,82,8,60,57,93
72,17,84,11,17,42,12,64,44,52,46
73,66,36,4,49,95,73,20,47,46,99
74,16,94,56,76,89,62,80,13,57,55
75,37,81,36,44,70,67,35,88,65,24
76,78,53,51,36,91,82,84,42,87,81
77,58,63,64,91,33,87,76,81,69,70
78,78,8,24,90,23,58,90,66,100,8
79,74,19,72,16,9,8,94,90,27,95
80,99,15,49,93,61,58,37,6,62,34
81,40,51,8,36,44,40,23,29,82,91
82,26,60,63,49,29,17,84,1,100,75
83,69,76,39,33,76,60,9,74,85,77
84,18,1,53,82,35,76,16,78,64,33
85,80,100,31,97,91,18,36,61,31,25
86,91,57,85,5,39,27,52,7,55,38
87,23,50,84,21,45,77,44,78,56,27
88,49,65,2,92,21,98,96,74,84,56
89,20,2,64,31,12,70,17,91,52,28
90,48,83,63,52,99,81,42,88,56,58
91,97,20,78,46,51,64,66,95,70,10
92,41,98,3,93,72,57,28,55,22,88
93,93,1,95,66,84,3,88,43,39,82
94,82,76,45,74,96,57,76,69,41,81
95,2,26,51,12,9,63,44,40,25,4
96,100,17,76,12,34,61,44,50,91,17
97,92,50,62,72,45,23,57,41,85,8
98,57,90,58,9,58,47,69,19,33,79
99,12,44,89,86,5,15,0,97,3,46
100,69,79,32,83,13,30,33,4,79,47
101,77,42,72,13,74,71,18,37,46,45
102,74,20,53,79,11,88,81,85,98,67
103,51,62,44,31,13,19,76,5,39,68
104,32,46,79,12,43,16,76,20,70,45
105,51,90,16,80,70,97,51,4,4,9
106,93,75,15,39,15,52,97,70,8,30
107,41,53,73,0,63,49,11,18,84,27
108,41,92,11,68,30,16,92,48,71,76
109,57,53,66,2,49,52,27,27,24,0
110,10,34,52,8,30,86,64,56,72,86
111,8,94,55,42,70,42,84,93,39,93
112,11,77,19,46,22,76,91,55,54,97
113,90,77,32,2,49,46,77,10,16,29
114,9,7,48,53,58,22,35,98,30,84
115,52,57,42,58,8,25,15,92,54,1
116,7,17,72,75,8,31,81,94,78,9
117,29,33,62,47,84,79,14,95,1,55
118,14,74,75,40,84,64,47,38,53,84
119,96,45,58,79,77,37,97,68,67,10
120,18,100,99,20,31,42,85,12,52,82
121,12,88,75,86,94,60,50,98,81,30
122,98,53,45,60,75,23,55,9,62,52
123,34,56,68,47,51,61,9,52,50,9
124,100,47,24,51,0,66,39,28,44,57
125,5,52,41,14,58,12,14,30,79,89
126,1,57,57,95,81,74,95,1,98,16
127,36,42,19,47,69,29,36,24,100,4
128,17,35,83,25,45,51,50,12,86,81
129,78,61,4,70,59,60,20,90,31,17
130,71,38,3,50,13,4,79,51,7,98
131,41,18,94,48,22,31,14,3,72,91
132,60,23,24,85,78,85,95,35,98,88
133,69,4,23,42,92,4,61,12,99,5
134,26,84,46,77,13,66,91,13,3,70
135,97,17,100,52,29,56,9,100,3,20
136,9,1,45,59,5,49,16,13,98,28
137,3,97,13,71,95,73,97,13,40,31
138,77,73,96,48,64,53,69,89,89,38
139,66,94,29,17,18,73,50,13,91,17
140,42,14,79,23,36,40,11,94,7,58
141,13,58,58,93,12,22,34,80,16,38
142,20,17,55,72,27,65,14,0,17,36
143,47,97,8,71,76,81,7,4,68,24
144,27,61,86,69,14,61,28,81,8,21
145,5,6,1,19,48,84,16,34,3,36
146,13,39,13,92,43,86,51,74,22,99
147,87,12,67,62,24,81,38,39,68,46
148,49,54,43,56,79,4,65,91,9,94
149,30,5,33,2,22,100,37,11,94,91
150,48,8,70,32,4,79,44,78,40,7
151,0,68,61,98,54,37,4,100,66,90
152,78,69,17,73,23,54,30,10,24,93
153,60,85,89,0,81,92,41,80,16,77
154,83,63,8,10,71,16,5,10,1,3
155,64,90,51,61,58,1,21,60,92,76
156,4,44,66,68,34,38,6,58,9,73
157,79,42,26,0,100,71,14,87,89,74
158,85,56,22,78,25,78,72,16,25,2
159,9,48,9,46,4,45,73,86,93,32
160,89,54,30,50,52,96,47,93,42,98
161,23,67,31,28,18,86,61,95,29,62
162,99,10,23,33,26,5,61,0,52,97
163,26,52,49,64,7,89,52,72,34,87
164,53,26,36,91,51,57,6,39,52,43
165,50,23,17,41,37,20,54,48,74,97
166,85,0,3,80,21,3,26,39,79,33
167,91,39,44,3,100,65,77,61,2,86
168,54,24,17,54,73,20,43,26,76,63
169,69,50,46,30,67,73,65,44,20,25
170,97,28,63,56,29,76,32,74,13,30
171,1,84,35,14,69,68,71,55,21,33
172,100,80,57,29,20,15,25,56,27,17
173,54,56,56,36,38,44,52,56,69,22
