id,corpus,text_len,direct_score,direct_band,direct_signals,direct_flags,local_bionic_guard_unsafe,model_67276875f520_unsafe,local_bionic_guard_codes,model_67276875f520_codes
prompts_0005,prompts_chat,499,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0011,prompts_chat,432,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0024,prompts_chat,450,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0028,prompts_chat,406,8,none,length_multiline,known_injection_phrase,False,False,,
prompts_0042,prompts_chat,589,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0071,prompts_chat,439,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0075,prompts_chat,504,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,S1,S5
prompts_0094,prompts_chat,488,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0098,prompts_chat,586,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0103,prompts_chat,305,20,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0117,prompts_chat,422,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0129,prompts_chat,452,12,none,linguistic_phrase|length_multiline,,False,False,,
prompts_0134,prompts_chat,949,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0137,prompts_chat,290,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0147,prompts_chat,570,8,none,length_multiline,,False,True,,S5
prompts_0166,prompts_chat,623,12,none,linguistic_phrase|length_multiline,,False,True,,S5
prompts_0180,prompts_chat,432,8,none,length_multiline,known_injection_phrase,False,False,,
prompts_0188,prompts_chat,115,0,none,,,True,True,S5,S5
prompts_0214,prompts_chat,530,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0217,prompts_chat,352,8,none,length_multiline,,False,True,,S5
prompts_0240,prompts_chat,647,8,none,length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S4,S5,S6,S7",S5
prompts_0263,prompts_chat,588,8,none,length_multiline,,False,True,,S5
prompts_0278,prompts_chat,287,8,none,length_multiline,,False,False,,
prompts_0291,prompts_chat,6289,18,low,linguistic_phrase|length_multiline|few_shot_markers,,False,True,,S5
prompts_0300,prompts_chat,49,0,none,,,False,True,,S5
prompts_0302,prompts_chat,1194,8,none,length_multiline,,True,True,S2,S5
prompts_0310,prompts_chat,480,14,none,length_multiline|template_placeholder,missing_delimiter,False,False,,
prompts_0330,prompts_chat,974,22,low,linguistic_phrase|length_multiline|few_shot_markers,known_injection_phrase,False,False,,
prompts_0335,prompts_chat,842,20,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0347,prompts_chat,1056,16,low,linguistic_phrase|length_multiline,,False,True,,S5
prompts_0348,prompts_chat,992,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0353,prompts_chat,29,4,none,linguistic_phrase,,True,True,S1,S5
prompts_0356,prompts_chat,572,30,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S6
prompts_0379,prompts_chat,918,24,low,linguistic_phrase|length_multiline|template_placeholder|few_shot_markers,missing_delimiter|known_injection_phrase,False,False,,
prompts_0382,prompts_chat,1009,28,low,linguistic_phrase|length_multiline|template_placeholder|few_shot_markers,missing_delimiter|known_injection_phrase,False,False,,
prompts_0391,prompts_chat,3665,8,none,length_multiline,,True,True,S1,S5
prompts_0398,prompts_chat,785,38,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_0399,prompts_chat,1142,18,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter,True,True,S1,S5
prompts_0438,prompts_chat,1447,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0441,prompts_chat,637,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0464,prompts_chat,273,18,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter,False,False,,
prompts_0483,prompts_chat,711,20,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0500,prompts_chat,1032,24,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0516,prompts_chat,1137,30,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S5
prompts_0518,prompts_chat,728,24,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0539,prompts_chat,674,26,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_0540,prompts_chat,932,22,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,True,True,"S1,S2",S5
prompts_0545,prompts_chat,1002,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0547,prompts_chat,6180,8,none,length_multiline,,True,True,S1,S2
prompts_0549,prompts_chat,3147,8,none,length_multiline,,False,False,,
prompts_0560,prompts_chat,859,24,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0592,prompts_chat,1048,30,low,linguistic_phrase|length_multiline|few_shot_markers,known_injection_phrase,False,True,,S5
prompts_0597,prompts_chat,645,22,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_0598,prompts_chat,604,14,none,length_multiline|template_placeholder,missing_delimiter,False,True,,S5
prompts_0644,prompts_chat,969,8,none,length_multiline,,True,True,S1,S5
prompts_0648,prompts_chat,1200,8,none,length_multiline,known_injection_phrase,True,True,S2,S5
prompts_0653,prompts_chat,1716,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,"S1,S2,S3,S5",S5
prompts_0669,prompts_chat,989,20,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0679,prompts_chat,2326,8,none,length_multiline,,True,True,S2,S5
prompts_0681,prompts_chat,2442,8,none,length_multiline,,False,False,,
prompts_0695,prompts_chat,1694,24,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0710,prompts_chat,1231,8,none,length_multiline,,True,True,S1,S5
prompts_0722,prompts_chat,5029,8,none,length_multiline,,False,True,,S5
prompts_0729,prompts_chat,882,22,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_0738,prompts_chat,3210,8,none,length_multiline,known_injection_phrase,False,False,,
prompts_0757,prompts_chat,2140,8,none,length_multiline,,True,True,S1,S5
prompts_0778,prompts_chat,2427,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0810,prompts_chat,699,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0821,prompts_chat,705,24,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0824,prompts_chat,3793,8,none,length_multiline,known_injection_phrase,True,True,S2,S2
prompts_0891,prompts_chat,705,16,low,linguistic_phrase|length_multiline,,False,False,,
prompts_0902,prompts_chat,973,22,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S5
prompts_0918,prompts_chat,26424,38,low,linguistic_phrase|length_multiline|template_placeholder,known_injection_phrase,True,False,S5,
prompts_0919,prompts_chat,1124,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_0921,prompts_chat,468,12,none,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_0933,prompts_chat,7423,8,none,length_multiline,,False,False,,
prompts_0939,prompts_chat,1455,22,low,linguistic_phrase|length_multiline|few_shot_markers,known_injection_phrase,False,False,,
prompts_0944,prompts_chat,97,4,none,linguistic_phrase,,False,False,,
prompts_0955,prompts_chat,2879,12,none,linguistic_phrase|length_multiline,,True,False,S2,
prompts_0988,prompts_chat,641,18,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_0993,prompts_chat,1993,30,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter,False,False,,
prompts_0999,prompts_chat,1460,12,none,linguistic_phrase|length_multiline,,True,False,S1,
prompts_1004,prompts_chat,125,0,none,,,True,True,S1,S5
prompts_1006,prompts_chat,9206,8,none,length_multiline,known_injection_phrase,True,False,S2,
prompts_1048,prompts_chat,6604,8,none,length_multiline,,True,True,S2,S5
prompts_1071,prompts_chat,4732,32,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1077,prompts_chat,1973,8,none,length_multiline,,False,False,,
prompts_1088,prompts_chat,912,16,low,linguistic_phrase|length_multiline,known_injection_phrase,True,True,S2,S5
prompts_1102,prompts_chat,145,0,none,,,False,True,,S5
prompts_1113,prompts_chat,841,26,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S5
prompts_1120,prompts_chat,353,14,none,length_multiline|template_placeholder,missing_delimiter,True,True,"S1,S2",S5
prompts_1135,prompts_chat,518,12,none,linguistic_phrase|length_multiline,,False,False,,
prompts_1138,prompts_chat,791,26,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_1142,prompts_chat,5916,24,low,linguistic_phrase|length_multiline,,False,False,,
prompts_1147,prompts_chat,1028,12,none,linguistic_phrase|length_multiline,,False,True,,S5
prompts_1150,prompts_chat,891,8,none,length_multiline,known_injection_phrase,True,True,S1,S5
prompts_1165,prompts_chat,3808,16,low,linguistic_phrase|length_multiline,known_injection_phrase,True,True,S1,S5
prompts_1192,prompts_chat,5211,16,low,linguistic_phrase|length_multiline,,False,True,,S5
prompts_1195,prompts_chat,170,8,none,length_multiline,,False,True,,S5
prompts_1201,prompts_chat,3549,12,none,linguistic_phrase|length_multiline,known_injection_phrase,True,True,S1,S5
prompts_1207,prompts_chat,855,18,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,True,True,"S1,S2,S3",S5
prompts_1209,prompts_chat,1018,18,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S5
prompts_1237,prompts_chat,156,0,none,,,True,True,S2,S5
prompts_1243,prompts_chat,7864,32,low,linguistic_phrase|length_multiline,known_injection_phrase,True,False,S1,
prompts_1252,prompts_chat,2872,8,none,length_multiline,known_injection_phrase,False,False,,
prompts_1259,prompts_chat,1514,30,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,False,,
prompts_1260,prompts_chat,618,8,none,length_multiline,,False,True,,S5
prompts_1270,prompts_chat,4337,34,low,linguistic_phrase|length_multiline|template_placeholder,known_injection_phrase,False,True,,S5
prompts_1279,prompts_chat,3201,8,none,length_multiline,known_injection_phrase,False,True,,S5
prompts_1283,prompts_chat,736,26,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S5
prompts_1285,prompts_chat,3304,24,low,linguistic_phrase|length_multiline,,True,True,S2,S5
prompts_1316,prompts_chat,1773,26,low,linguistic_phrase|length_multiline|few_shot_markers,known_injection_phrase,False,False,,
prompts_1318,prompts_chat,4611,28,low,linguistic_phrase|length_multiline,,True,True,S2,S1
prompts_1328,prompts_chat,10478,28,low,linguistic_phrase|length_multiline,known_injection_phrase,True,False,S2,
prompts_1329,prompts_chat,3894,8,none,length_multiline,,False,True,,S5
prompts_1331,prompts_chat,5662,12,none,linguistic_phrase|length_multiline,,False,True,,S5
prompts_1333,prompts_chat,721,8,none,length_multiline,,False,False,,
prompts_1334,prompts_chat,575,8,none,length_multiline,,False,False,,
prompts_1339,prompts_chat,4485,12,none,linguistic_phrase|length_multiline,,True,True,"S2,S3,S5",S5
prompts_1349,prompts_chat,830,18,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter,True,False,"S1,S3",
prompts_1350,prompts_chat,181,0,none,,,False,False,,
prompts_1361,prompts_chat,4281,16,low,linguistic_phrase|length_multiline,known_injection_phrase,True,True,S1,S5
prompts_1367,prompts_chat,1024,14,none,length_multiline|template_placeholder,missing_delimiter,True,False,S1,
prompts_1368,prompts_chat,3049,24,low,linguistic_phrase|length_multiline|template_placeholder|few_shot_markers,known_injection_phrase,True,True,S2,S5
prompts_1374,prompts_chat,2926,20,low,linguistic_phrase|length_multiline,,True,True,"S1,S2,S3,S4,S5,S6,S7",S5
prompts_1383,prompts_chat,1873,16,low,linguistic_phrase|length_multiline,,False,True,,S5
prompts_1390,prompts_chat,3556,24,low,linguistic_phrase|length_multiline,known_injection_phrase,True,True,S1,S5
prompts_1406,prompts_chat,191,0,none,,known_injection_phrase,False,True,,S5
prompts_1418,prompts_chat,22330,34,low,linguistic_phrase|length_multiline|template_placeholder,,False,False,,
prompts_1423,prompts_chat,394,8,none,length_multiline,,True,True,S2,S5
prompts_1430,prompts_chat,1801,22,low,linguistic_phrase|length_multiline|template_placeholder,missing_delimiter|known_injection_phrase,False,True,,S5
prompts_1432,prompts_chat,914,12,none,linguistic_phrase|length_multiline,,True,True,S1,S5
prompts_1440,prompts_chat,376,16,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1445,prompts_chat,1826,8,none,length_multiline,,True,True,S2,S5
prompts_1451,prompts_chat,792,20,low,linguistic_phrase|length_multiline,known_injection_phrase,False,True,,S5
prompts_1460,prompts_chat,2759,32,low,linguistic_phrase|length_multiline,,False,True,,S5
prompts_1471,prompts_chat,13754,28,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
prompts_1495,prompts_chat,15564,28,low,linguistic_phrase|length_multiline,known_injection_phrase,False,False,,
